"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"1739",216,183,304,121,173,155,260,185,192,142,184,127
"1740",6,2,1,4,3,4,7,7,2,1,0,5
"1741",21,18,9,11,8,13,43,11,16,25,47,37
"1742",38,43,6,6,6,7,19,22,36,12,10,5
"1743",184,148,148,217,226,248,143,102,58,131,236,143
"1745",0,0,0,0,0,0,0,0,0,0,1,1
"1746",2,5,0,0,0,1,1,1,12,0,0,1
"1747",0,0,1,0,1,0,0,0,0,0,0,0
"1748",0,1,0,0,1,0,0,1,1,1,1,3
"1749",0,0,0,0,0,0,0,0,0,0,0,0
"1750",1,0,0,1,0,0,0,0,0,0,0,0
"1755",0,0,0,0,0,1,0,0,0,0,0,0
"1756",86,23,37,145,158,103,3,3,0,14,3,6
"1757",0,1,1,1,0,0,7,3,2,4,13,6
"1758",0,0,0,0,0,0,0,0,0,1,0,1
"1759",4,1,1,1,3,2,1,0,2,3,2,3
"1760",13,10,40,8,9,10,7,14,17,2,4,11
"1761",0,0,0,0,0,0,0,0,0,0,0,0
"1762",30,7,19,13,18,11,9,12,18,2,8,8
"1763",22,9,26,19,27,21,28,19,4,18,43,19
"1767",1,0,2,0,0,0,0,0,0,0,0,0
"1768",10,6,12,2,0,3,21,12,23,2,9,3
"1769",12,21,51,2,5,12,7,0,4,1,0,1
"1770",0,0,2,0,0,0,0,0,1,1,1,3
"1773",16,6,29,5,12,6,9,17,15,6,15,5
"1774",64,75,40,35,30,12,30,12,80,31,24,24
"1775",0,0,0,0,0,0,2,0,4,1,0,0
"1776",4,14,29,1,0,0,2,0,2,1,0,0
"1777",24,21,20,12,14,9,5,4,0,4,10,10
"1778",3608,2914,2245,1582,1928,1423,3560,2876,1844,1345,2958,1413
"1780",0,0,1,0,0,0,0,0,0,1,0,2
"1781",157,160,292,130,165,115,101,67,83,85,104,83
"1783",338,223,220,380,463,360,458,288,140,287,558,239
"1785",337,381,465,208,154,198,297,190,290,218,189,199
"1786",167,235,199,205,259,192,364,267,187,105,216,142
"1787",104,99,111,71,188,91,196,138,168,121,223,116
"1788",138,150,213,154,156,104,204,166,149,85,111,76
"1789",1,1,2,1,1,3,5,3,0,0,1,2
"1791",0,4,0,0,0,0,0,1,0,1,0,0
"1793",10,31,16,2,0,3,0,2,0,2,0,6
"1794",1702,1492,1151,636,687,696,969,735,539,416,649,537
"1795",5,6,5,6,4,2,36,27,2,16,21,27
"1796",38,18,10,15,25,15,6,7,3,13,32,22
"1797",39,31,29,19,19,17,21,18,28,15,25,15
"1798",48,62,65,7,10,15,32,21,9,7,25,22
"1800",0,0,0,0,0,0,0,0,0,0,0,0
"1801",6,4,23,7,8,4,9,5,5,5,12,8
"1802",40,17,16,53,62,52,38,19,31,20,72,50
"1803",22,111,121,10,8,6,169,96,68,143,439,175
"1804",0,0,2,0,0,0,0,1,1,0,1,0
"1805",0,0,0,0,0,0,0,0,0,0,0,0
"1806",529,351,268,81,74,55,350,313,341,148,285,152
"1807",0,1,0,0,0,0,0,0,0,0,0,0
"1808",788,1112,1048,81,114,61,94,178,263,45,41,141
"1809",3,0,1,6,5,3,2,1,0,13,0,19
"1810",186,178,142,154,150,149,140,92,29,96,172,108
"1811",0,0,0,0,1,0,1,0,0,0,2,1
"1812",0,0,0,0,0,0,0,0,0,0,0,0
"1813",1,0,0,1,0,0,0,1,0,0,0,0
"1814",0,0,0,0,1,0,0,0,0,0,0,2
"1815",0,1,1,0,1,1,0,0,1,0,0,1
"1816",0,0,1,0,0,0,0,0,0,1,0,1
"1819",39,33,8,43,53,38,25,10,14,23,49,28
"1820",69,114,43,11,37,8,10,8,7,12,6,4
"1821",0,0,1,0,1,0,0,0,0,0,0,2
"1822",162,106,144,65,78,63,148,105,79,30,76,36
"1823",0,4,51,1,1,0,16,11,5,49,173,37
"1824",23,14,0,4,4,1,6,6,14,14,0,9
"1825",0,0,1,0,0,0,0,0,0,0,0,2
"1826",0,0,0,0,0,0,0,0,0,0,0,0
"1827",28,36,31,5,12,2,8,11,5,4,5,7
"1828",0,0,1,0,0,0,0,0,0,0,0,0
"1829",3,42,2,5,2,5,7,3,0,3,1,5
"1830",0,20,48,0,0,1,0,2,0,0,2,1
"1831",638,495,1611,1575,1472,3149,839,335,698,945,2733,1480
"1832",478,47,1,341,199,166,2,4,2,21,0,11
"1834",0,0,0,0,0,0,0,0,1,2,0,1
"1836",101,144,118,66,117,33,51,54,41,116,117,80
"1837",5,34,27,2,0,1,2,7,2,5,0,1
"1838",43,9,55,22,35,27,64,62,45,16,72,23
"1839",246,484,189,121,47,22,98,120,249,171,16,79
"1840",82,19,70,63,31,54,15,14,1,12,5,6
"1841",18,7,13,14,16,7,7,6,24,9,15,8
"1842",7,2,0,2,21,2,14,13,7,4,7,12
"1843",3687,3598,2827,2369,941,3007,608,810,1338,968,587,979
"1844",707,732,602,178,109,114,413,380,304,166,203,209
"1845",287,213,188,57,37,30,28,35,94,35,26,30
"1846",189,218,219,328,318,268,170,124,29,294,352,356
"1847",310,356,515,200,108,187,156,112,90,154,104,109
"1848",1896,1577,898,351,118,145,123,301,143,363,26,220
"1849",52,130,187,14,24,6,79,78,74,19,81,26
"1850",111,81,108,51,45,51,103,77,55,58,76,67
"1852",0,0,1,0,0,0,0,0,0,0,0,0
"1854",45,40,79,38,50,39,53,31,36,31,84,36
"1855",28,23,25,7,3,8,25,19,10,6,15,15
"1856",22,7,15,10,23,13,27,19,16,11,22,7
"1857",289,302,401,274,337,248,171,152,95,101,159,109
"1859",1296,997,1350,1493,1229,1491,1043,621,735,995,1364,842
"1861",160,138,105,132,184,87,132,96,84,90,185,98
"1869",9,10,8,2,5,1,8,8,2,4,3,8
"1870",8,25,10,3,0,6,7,9,30,19,1,12
"1871",118,136,93,92,98,63,65,52,65,48,52,50
"1874",111,106,140,140,148,170,82,36,106,80,108,97
"1875",39,11,35,60,49,41,5,3,13,11,4,6
"1876",49,31,23,29,33,28,29,18,20,24,40,24
"1877",20,26,21,32,32,22,32,29,26,20,44,23
"1879",693,120,364,413,748,515,4,8,13,24,0,31
"1880",2804,3755,3190,798,1029,750,1069,617,776,1204,1300,960
"1889",667,305,364,506,594,662,189,150,228,227,156,198
"1890",41,20,27,10,11,7,5,6,10,7,2,6
"1891",231,257,423,38,121,47,84,137,150,27,137,51
"1892",36,61,55,8,16,12,18,13,11,5,24,10
"1893",1,0,1,3,5,0,2,3,5,1,0,3
"1894",22,31,25,9,11,3,14,10,10,9,6,9
"1896",0,1,3,0,2,0,14,11,2,5,38,4
"1901",694,782,1594,623,847,729,1124,563,312,834,2295,886
"1902",6,9,9,1,0,2,2,2,13,13,0,4
"1903",101,112,19,18,12,2,17,37,23,40,2,20
"1906",55,52,22,23,16,16,14,7,31,11,3,11
"1907",1,0,0,0,1,2,0,0,0,0,0,0
"1908",0,0,0,0,1,0,1,1,2,1,2,1
"1909",0,1,1,0,0,0,0,0,0,1,0,1
"1910",2,0,0,10,0,1,0,0,0,17,0,3
"1911",163,145,167,94,90,117,79,73,78,66,94,92
"1912",68,68,103,55,92,55,56,53,22,73,101,74
"1915",28705,24233,21956,21944,22535,25127,6918,5363,4977,21272,41408,18893
"1917",2,1,1,0,1,0,0,0,0,1,2,0
"1933",2627,1628,1821,2462,2753,3076,609,371,413,1966,4809,1818
"1936",445,344,535,508,450,494,233,183,211,398,639,329
"1937",4775,3367,4418,4130,4498,4760,892,715,663,2827,8175,2826
"1938",5402,4599,5288,3456,3743,4079,1394,1194,1283,2464,5872,2995
"1939",110,75,72,66,78,75,64,39,19,71,149,90
"1942",2,3,3,0,0,0,6,9,5,2,3,1
"1943",0,1,0,0,0,0,1,0,4,0,0,0
"1944",0,2,3,2,1,1,0,0,0,0,0,1
"1945",33,22,31,5,15,5,10,12,12,4,4,3
"1946",0,3,0,0,0,0,0,0,0,2,0,4
"1947",17,30,26,8,12,11,15,11,2,7,13,7
"1948",82,87,20,12,17,17,84,72,43,5,23,3
"1949",0,0,0,0,0,0,0,0,3,0,0,0
"1950",9,1,0,7,8,6,3,1,0,13,0,17
"1951",16,8,18,13,7,11,27,20,78,6,20,25
"1952",9,15,9,2,4,7,17,11,44,5,8,19
"1953",67,60,101,59,50,56,146,130,71,34,69,52
"1954",36,23,45,14,37,16,22,24,8,5,18,10
"1955",295,562,287,87,64,62,114,147,84,63,78,66
"1956",0,0,0,0,0,0,0,0,0,0,0,0
"1958",1349,1736,3621,1083,510,403,776,1023,3239,538,41,283
"1959",669,387,1000,198,226,81,187,117,188,175,22,106
"1960",1984,1139,1792,619,1030,165,467,578,1661,293,25,83
"1961",9,11,22,1,2,0,4,3,13,3,0,0
"1962",1,6,2,1,1,0,3,3,1,0,3,3
"1964",386,193,231,218,433,367,339,120,185,204,635,300
"1965",366,284,329,349,439,381,252,152,75,270,582,364
"1967",169,212,227,221,221,264,119,77,19,165,265,181
"1968",2437,1718,2021,723,1328,1328,560,410,623,556,2357,865
"1969",10,17,24,0,0,0,2,4,8,3,0,2
"1973",0,0,0,0,0,0,0,0,0,0,0,0
"1974",3861,2647,3520,3165,2176,3358,2702,1820,1615,1650,3095,1754
"1975",3391,2884,2476,2017,2127,2306,1323,905,495,1915,4429,1913
"1977",406,401,138,141,161,118,110,120,60,104,107,78
"1978",13,12,0,5,12,2,1,2,2,5,4,8
"1979",826,837,1071,455,633,452,471,326,421,373,844,478
"1981",533,445,291,416,502,416,427,310,179,227,485,294
"1982",7973,6787,6242,4874,3969,4405,3659,2449,2404,4227,5067,3656
"1983",3237,2709,3560,2580,1408,2444,2913,2443,3353,1678,1529,1325
"1984",411,371,463,365,323,443,142,150,98,218,221,182
"1990",0,1,5,0,0,2,0,0,0,0,1,0
"1991",1,13,2,4,1,3,0,0,0,5,1,4
"1992",616,954,407,222,189,197,95,183,290,206,174,204
"1993",0,0,0,0,0,0,0,0,2,0,0,0
"1994",143,111,146,106,180,75,117,75,55,61,164,78
"1995",0,0,0,0,0,0,2,2,0,0,0,0
"1996",0,2,0,0,0,0,0,0,0,0,0,0
"1997",3232,3360,3287,1952,1949,2004,1104,1007,982,1317,2010,1439
"1998",600,509,433,529,596,486,553,386,242,283,488,268
"1999",2,0,0,4,3,3,0,1,1,2,1,1
"2000",709,1015,636,396,363,247,344,306,235,282,186,231
"2001",1,0,0,0,0,1,0,1,0,0,1,0
"2002",37,31,23,30,22,27,10,14,27,14,27,15
"2004",424,478,328,381,596,293,801,399,355,352,515,288
"2005",1215,913,1765,1167,1570,1138,978,678,551,780,2548,918
"2006",0,0,0,0,0,0,0,0,0,0,0,0
"2009",0,0,0,0,0,0,0,0,0,0,0,0
"2010",146,91,209,94,63,130,58,41,43,54,122,51
"2011",171,212,358,120,131,84,112,87,106,43,93,67
"2012",73,90,16,98,19,19,29,18,49,150,5,89
"2013",2,4,0,0,0,0,0,0,0,1,0,1
"2014",546,487,639,172,184,112,67,73,179,103,80,76
"2015",194,380,391,45,7,29,26,39,22,34,42,48
"2016",0,0,0,0,0,1,0,0,0,0,0,1
"2017",12,1,0,13,23,18,2,4,0,19,1,26
"2018",0,0,0,0,0,0,0,0,0,0,0,0
"2020",0,2,0,0,0,0,0,0,0,0,0,0
"2021",9,11,6,5,4,5,10,11,11,2,8,4
"2022",85,82,34,35,33,16,28,13,47,45,8,21
"2023",527,554,287,231,231,224,175,204,178,156,269,170
"2026",42,33,81,21,30,33,212,106,111,53,175,69
"2027",25,24,16,9,21,7,22,16,10,8,13,14
"2028",2,3,2,0,0,0,0,0,0,0,0,0
"2029",670,591,484,386,378,369,367,247,264,289,496,288
"2030",25,31,26,13,11,6,6,8,14,4,1,11
"2033",3910,4285,3300,2489,2464,2018,2219,2000,1075,1426,1837,1495
"2034",103,281,551,52,18,39,74,59,55,84,31,64
"2035",1257,1079,1476,745,741,789,1062,823,710,796,1616,864
"2036",6,28,1,4,6,0,2,3,0,5,1,2
"2037",266,138,112,212,244,196,88,32,31,58,55,44
"2038",2,0,1,21,3,8,0,0,0,29,4,13
"2039",9,2,2,32,9,29,10,10,4,45,20,22
"2040",289,514,207,123,83,111,192,186,120,190,161,249
"2041",5,2,5,0,0,2,22,2,2,4,8,6
"2042",0,0,1,0,0,0,0,0,1,1,0,0
"2043",92,123,161,61,78,85,480,140,152,181,379,160
"2044",0,0,0,0,0,0,0,0,0,0,0,0
"2045",0,0,0,0,0,0,0,0,0,1,0,0
"2046",0,1,1,0,0,0,1,0,1,1,0,0
"2047",4,13,35,2,0,0,1,0,0,2,0,0
"2048",17,2,2,0,1,0,1,5,17,1,0,5
"2049",0,3,5,0,0,0,3,3,3,0,0,0
"2050",3,5,1,2,0,5,6,7,5,6,7,3
"2051",23,18,16,16,20,12,26,16,4,8,15,13
"2052",2,3,0,3,2,0,2,8,15,4,3,2
"2053",0,4,4,0,2,0,20,24,19,15,46,17
"2054",88,45,133,69,79,39,101,48,207,34,126,75
"2055",178,172,130,40,29,27,211,123,80,67,160,69
"2056",0,0,0,0,0,0,1,0,0,0,0,0
"2057",43,17,87,18,50,22,24,29,11,15,13,5
"2058",302,337,272,240,432,208,320,168,134,282,716,299
"2059",32,55,7,15,10,12,30,11,0,19,18,6
"2060",752,644,703,524,707,476,298,275,308,327,430,304
"2063",3,3,0,0,1,0,4,4,0,0,0,1
"2064",5,7,32,7,5,4,3,4,2,1,0,2
"2065",2,3,9,1,0,1,22,28,73,1,1,2
"2066",0,0,1,0,0,0,0,0,0,0,0,0
"2067",81,106,54,43,60,44,30,41,43,35,33,37
"2068",19,6,5,4,1,5,5,7,5,4,7,3
"2069",4732,3458,1154,380,141,69,182,937,579,245,23,113
"2070",0,0,0,0,0,0,0,0,0,0,0,0
"2071",85,70,78,95,82,98,95,54,45,88,112,66
"2072",15,27,45,34,40,30,15,11,9,27,56,27
"2073",14,10,33,6,6,14,12,19,29,8,25,4
"2074",171,126,120,149,244,114,160,93,13,91,263,103
"2077",214,179,213,46,33,33,104,147,384,27,57,20
"2078",9,44,2,10,1,4,5,8,0,13,0,4
"2079",34,17,19,35,57,30,8,11,10,17,44,20
"2081",1101,1830,1589,236,94,85,710,1049,662,350,569,271
"2086",75,93,60,81,71,32,49,48,48,59,20,39
"2091",432,351,324,377,438,499,151,106,51,312,770,305
"2098",274,321,289,251,179,195,72,68,71,193,371,184
"2099",7,12,4,1,4,4,12,14,6,8,24,3
"2100",46,30,94,84,160,106,148,96,39,35,44,31
"2101",20,29,17,16,15,12,7,11,9,9,12,11
"2103",0,0,0,0,0,0,0,1,0,0,0,0
"2104",0,0,1,0,0,0,0,0,0,0,0,1
"2107",1939,1898,1681,727,576,661,629,602,560,785,752,613
"2108",85,50,51,39,58,37,18,26,11,15,33,27
"2109",93,92,45,32,25,35,18,11,16,22,32,52
"2110",54,36,27,22,33,29,49,23,15,31,102,34
"2113",1050,1407,3520,1421,2133,1894,1725,953,953,1695,6113,2096
"2114",1687,1899,591,184,81,87,189,496,205,215,96,194
"2115",1,1,0,0,0,0,1,0,0,0,1,1
"2116",0,1,4,0,0,2,0,1,0,3,1,0
"2117",2087,2923,1951,358,409,320,1356,1155,932,566,1060,482
"2118",0,0,0,0,0,2,1,0,0,0,0,0
"2119",36,17,7,11,2,8,3,3,26,5,0,0
"2120",934,1001,918,359,644,364,365,397,181,260,326,181
"2121",4,3,4,3,0,0,1,9,1,2,2,2
"2122",0,3,5,2,0,0,0,1,0,2,0,1
"2123",239,233,188,53,66,59,175,122,190,225,376,186
"2124",2378,2288,1763,1515,1411,1995,735,596,748,1331,1295,1431
"2125",1,0,1,0,0,0,4,1,6,0,1,2
"2128",0,1,0,0,0,1,1,0,0,0,1,0
"2130",1060,875,627,665,741,568,755,577,486,419,632,442
"2131",155,211,469,94,101,123,152,165,150,47,60,54
"2132",74,88,181,32,69,45,58,49,34,42,57,35
"2134",0,0,1,0,0,0,0,0,0,1,0,1
"2135",10,17,11,6,7,1,35,34,19,2,20,4
"2137",54,68,20,33,36,13,22,14,10,26,33,25
"2138",0,1,0,0,0,0,0,0,0,0,0,0
"2139",0,4,4,1,5,1,0,0,0,0,0,1
"2140",138,157,172,106,268,86,109,88,43,82,282,73
"2145",241,112,206,213,266,193,218,153,185,137,387,169
"2146",384,284,248,527,375,616,432,280,102,399,247,281
"2147",0,1,0,1,2,1,3,1,0,0,1,0
"2149",26,64,7,47,36,44,71,34,28,132,116,141
"2150",3,1,3,2,0,0,7,5,0,6,19,8
"2151",16,32,19,41,129,33,32,44,35,23,216,43
"2152",165,167,35,73,8,20,20,53,33,19,1,9
"2153",197,205,121,44,31,5,84,70,77,110,102,91
"2155",1,6,0,0,0,0,0,0,2,0,0,1
"2157",30,18,6,7,15,2,3,8,3,4,4,3
"2158",0,0,0,0,0,0,0,0,0,0,0,0
"2159",0,3,0,0,0,0,0,2,0,0,0,0
"2160",0,0,0,0,1,2,0,0,2,0,0,0
"2161",8,2,0,2,4,4,0,1,0,0,0,0
"2162",442,161,29,120,159,127,62,65,97,294,3,217
"2165",0,0,0,0,0,0,0,0,0,0,0,0
"2166",12,10,11,7,11,4,2,7,0,2,9,1
"2167",0,0,4,0,0,0,0,0,0,0,0,0
"2169",1,0,0,0,2,0,1,0,2,0,0,0
"2170",0,4,1,1,1,0,1,3,0,0,2,1
"2171",53,49,29,41,21,22,10,13,22,35,16,23
"2172",0,0,0,0,0,0,0,0,0,0,0,0
"2173",0,0,0,0,0,0,0,0,0,0,0,0
"2175",71,67,61,38,50,39,62,54,42,22,75,30
"2176",22,24,17,6,18,8,14,9,1,5,8,8
"2177",141,67,181,148,212,192,79,62,82,88,137,56
"2178",6,4,5,11,9,8,10,4,4,2,8,4
"2180",4083,2108,652,1043,1096,1326,401,558,317,593,169,528
"2181",434,322,233,367,311,272,253,157,147,378,366,283
"2182",339,339,211,119,146,101,117,101,102,183,164,171
"2184",6,14,10,1,3,0,3,6,0,6,2,4
"2185",879,515,493,321,337,313,310,261,452,191,172,237
"2186",3991,2667,2852,2157,3626,2371,2908,2326,1384,985,2268,1021
"2187",14,6,13,10,5,6,5,5,9,1,6,9
"2188",11,9,5,21,39,21,9,4,2,10,39,17
"2189",21,18,4,13,19,16,25,14,24,11,11,17
"2191",1,0,0,1,1,0,0,0,0,0,0,0
"2192",0,1,0,0,0,0,0,0,1,0,0,1
"2193",42,24,28,34,58,16,22,10,1,22,83,29
"2194",43,43,65,12,31,18,235,72,112,42,163,120
"2195",2,0,5,0,2,0,0,0,2,0,0,4
"2196",4,5,2,2,9,0,4,1,3,1,2,0
"2197",730,625,989,647,548,638,159,135,371,403,739,302
"2199",8,7,5,4,2,1,1,3,0,1,0,1
"2200",2,11,1,2,1,1,2,3,2,2,1,1
"2201",101,114,16,12,7,1,6,34,1,25,0,14
"2202",0,0,0,0,0,0,0,0,0,0,0,0
"2203",26,57,15,17,11,3,3,14,5,25,3,7
"2204",862,755,128,249,110,67,109,191,105,219,27,140
"2205",222,1864,3470,24,7,32,54,121,225,13,1,25
"2206",27,296,623,2,2,20,8,9,12,1,0,2
"2207",1402,1135,735,284,127,146,156,177,242,331,21,407
"2208",179,16,67,225,119,244,4,0,13,9,1,9
"2209",15,12,4,6,0,2,2,16,43,5,0,14
"2210",8,11,0,1,0,3,0,3,1,3,0,2
"2212",1376,1522,570,231,101,111,75,316,316,294,17,244
"2213",78,210,228,12,22,16,2,5,13,2,2,2
"2214",538,1471,358,69,12,102,181,146,135,83,7,211
"2215",4,18,6,37,12,49,0,2,35,47,2,46
"2217",105,129,28,22,11,5,16,29,17,25,7,13
"2218",25,27,65,34,71,40,16,12,19,18,60,32
"2219",1284,1189,282,144,75,36,82,239,305,142,22,162
"2220",0,0,0,0,0,0,0,0,0,1,0,0
"2222",453,324,322,187,265,139,157,106,112,169,268,152
"2224",150,144,148,74,98,74,69,55,29,53,124,79
"2230",102,95,76,65,82,60,93,48,24,53,114,71
"2232",3,3,1,1,0,1,4,8,1,0,3,2
"2235",34,34,117,80,54,51,31,22,22,99,109,64
"2237",53,57,23,29,65,35,25,9,11,37,70,41
"2239",8,1,0,8,5,3,0,0,0,2,0,2
"2241",104,99,236,87,139,117,101,50,85,68,82,62
"2242",21,25,17,5,6,6,6,7,15,7,1,6
"2243",0,0,0,0,0,0,0,0,0,0,0,3
"2244",0,1,0,0,0,0,0,0,0,1,0,2
"2245",3,2,1,7,8,7,1,1,0,1,14,3
"2247",0,1,1,2,3,2,2,2,0,1,1,6
"2249",0,0,0,0,0,0,0,0,1,0,0,0
"2250",0,0,1,0,0,0,0,0,0,1,0,0
"2252",0,0,0,0,0,0,0,1,0,0,0,0
"2253",0,0,0,0,0,0,0,1,0,0,0,0
"2254",45,23,11,100,75,75,52,38,11,95,81,33
"2256",12,13,17,6,3,2,17,17,38,2,3,0
"2257",0,0,0,0,0,3,0,0,1,0,0,0
"2258",0,1,0,0,0,1,0,0,0,1,0,1
"2259",0,0,0,0,0,0,0,0,0,0,1,0
"2260",42,26,28,48,45,16,71,59,39,58,48,41
"2261",2,3,0,5,4,1,2,5,0,0,2,0
"2262",0,0,0,1,0,0,0,1,0,0,0,1
"2263",16,86,141,2,0,2,4,7,3,2,1,2
"2264",3,0,0,3,1,2,3,4,6,0,2,2
"2266",0,0,1,0,0,0,0,0,0,0,0,0
"2268",887,942,366,197,141,120,65,186,170,194,12,174
"2271",73,73,90,54,59,41,17,30,25,28,90,38
"2272",11,7,16,4,9,7,34,16,9,17,153,12
"2273",11,19,35,15,9,19,36,17,17,44,73,42
"2274",4,1,1,3,4,5,3,4,0,1,3,2
"2275",15,32,21,9,5,3,21,9,11,10,8,5
"2280",503,615,506,254,237,146,187,130,216,251,250,178
"2281",3,3,29,2,2,0,1,4,0,1,0,3
"2282",51,27,36,33,96,49,64,53,63,29,107,42
"2286",96,116,120,68,101,80,28,42,18,43,48,43
"2287",92,95,99,73,112,90,61,23,31,92,224,105
"2288",661,477,480,105,158,84,203,259,133,48,155,57
"2289",459,537,557,212,735,366,792,544,373,507,4042,1012
"2290",0,0,1,1,0,0,0,0,1,1,0,1
"2294",1,0,2,0,2,1,0,0,1,0,0,1
"2295",0,0,1,0,0,0,0,0,1,0,0,1
"2296",3,3,8,1,2,2,3,0,0,1,2,1
"2297",1,0,0,1,0,0,0,0,0,0,0,2
"2298",0,1,1,1,1,0,3,1,0,0,1,0
"2299",5,3,0,0,0,0,8,10,17,0,1,0
"2300",0,0,0,0,0,0,0,0,0,0,0,1
"2302",1,4,5,1,0,0,5,8,32,0,2,1
"2303",0,0,0,0,0,0,0,0,0,1,0,0
"2304",0,1,36,1,0,0,7,1,1,0,3,1
"2305",10,14,9,11,9,7,18,15,10,8,23,12
"2306",1,5,2,3,6,1,17,8,1,1,2,5
"2308",885,561,1437,1150,749,1175,927,539,452,797,2380,1113
"2309",1272,1559,1184,591,431,609,388,407,345,498,499,375
"2310",41,30,53,31,45,26,88,30,37,15,62,26
"2312",0,0,17,3,0,0,0,0,6,4,0,17
"2313",528,632,830,409,490,333,265,184,167,132,568,223
"2314",218,272,191,96,99,85,134,97,109,81,124,111
"2315",25,13,24,8,11,5,56,33,18,2,12,3
"2316",2619,2816,2308,658,766,744,1815,1732,1268,772,819,1262
"2317",438,343,741,200,371,166,300,308,197,387,560,251
"2318",11,1,1,2,10,2,8,8,3,1,2,3
"2319",260,241,366,138,166,160,53,69,81,53,130,129
"2321",780,608,217,22,24,9,134,154,92,68,110,59
"2322",44,162,189,9,5,6,7,9,14,4,1,6
"2323",6,9,52,2,5,10,55,42,33,35,76,25
"2324",0,1,9,0,0,0,17,9,2,5,4,4
"2326",1,0,6,3,2,0,0,0,1,1,0,2
"2327",0,1,0,0,0,0,0,0,0,0,0,0
"2328",3,0,0,0,0,0,0,0,1,1,0,0
"2329",15,14,12,4,10,14,8,3,0,1,12,4
"2330",43,34,5,10,17,12,4,12,0,3,8,3
"2331",0,0,3,6,4,2,4,8,59,5,0,0
"2332",283,260,221,255,296,311,226,147,57,211,377,202
"2334",51,140,75,62,20,31,13,11,6,38,16,29
"2335",4,9,5,15,31,7,10,16,15,19,11,6
"2339",103,105,113,148,152,96,91,62,61,115,187,73
"2342",1,0,1,0,0,0,1,0,0,0,0,0
"2346",0,0,1,0,0,0,0,0,0,0,0,0
"2348",1,0,1,0,0,0,0,0,0,0,0,0
"2350",20,3,4,2,5,0,0,7,2,2,0,2
"2352",6,12,5,0,0,0,0,4,1,1,0,2
"2353",1145,1332,1709,1635,692,1777,440,433,1118,426,249,457
"2354",5278,7915,9614,2110,867,1809,1862,2001,4327,910,107,434
"2355",3065,5726,4986,1854,1422,1572,2542,2018,1836,2142,3317,1888
"2356",18,18,19,26,28,29,21,16,11,12,24,20
"2357",492,450,445,163,95,67,36,97,78,224,20,167
"2358",87,44,27,19,17,6,3,18,4,25,2,14
"2359",27,115,24,3,17,1,9,18,4,8,0,3
"2395",24,31,58,14,48,24,27,31,13,20,98,38
"2444",0,0,0,0,1,0,0,0,0,0,0,1
"2475",461,321,468,348,485,196,353,271,242,237,456,196
"2483",64,67,61,72,47,87,21,19,17,60,62,38
"2487",0,0,1,0,0,0,0,0,0,0,0,0
"2488",0,0,0,1,0,0,0,0,0,0,0,0
"2491",3,4,41,0,4,0,0,2,0,1,0,2
"2492",0,0,0,0,0,0,0,0,0,0,0,0
"2494",0,0,0,0,0,1,0,1,0,0,0,3
"2495",17524,18729,16153,12254,7705,11015,2977,3374,3560,10079,10571,6701
"2498",17,7,55,5,32,9,21,23,7,7,18,6
"2512",5772,8745,4878,3478,1582,2030,691,1527,2117,2623,1266,1610
"2516",0,0,0,0,0,0,0,0,0,0,0,0
"2517",60,46,67,14,32,19,46,29,43,22,55,26
"2519",80,72,90,20,21,11,20,15,50,24,9,21
"2520",0,0,0,0,0,0,0,0,1,0,0,0
"2521",1474,1324,1468,804,1183,773,1381,1483,1195,542,1578,505
"2523",0,3,0,0,0,0,0,0,0,0,0,1
"2524",1,0,1,1,0,0,0,3,1,0,0,2
"2525",0,0,0,1,3,0,0,0,2,0,1,0
"2526",221,183,114,107,142,97,84,65,71,115,176,111
"2527",2,0,0,1,3,1,0,2,0,1,6,2
"2528",0,0,1,0,0,0,0,1,1,1,1,0
"2529",0,3,1,0,0,0,0,0,3,0,0,0
"2530",217,80,222,51,44,60,131,125,183,49,73,91
"2531",114,104,202,54,102,39,154,96,65,31,120,54
"2532",0,0,0,1,0,0,0,0,0,1,0,2
"2533",882,1629,1139,139,67,131,1740,1142,1208,589,2003,922
"2534",371,646,444,198,194,134,1528,835,467,586,2208,600
"2535",1,4,0,1,0,0,1,2,2,0,0,2
"2537",42,40,57,13,7,16,8,16,44,20,14,28
"2538",0,0,0,0,0,0,0,0,0,1,0,0
"2539",68,91,90,22,21,19,35,31,57,8,13,19
"2542",8,2,2,6,4,6,14,10,16,11,20,4
"2547",670,469,425,509,520,496,289,188,171,399,769,333
"2548",132,84,76,24,11,26,23,31,149,27,12,22
"2549",246,342,516,172,215,230,15,45,96,56,3,36
"2550",428,293,324,183,156,202,243,231,254,60,117,67
"2551",96,81,82,146,166,105,78,42,41,94,145,95
"2553",171,90,261,485,684,689,83,52,51,297,279,181
"2554",0,0,1,1,0,0,0,0,0,0,0,0
"2555",0,0,0,0,0,0,0,0,0,0,0,0
"2557",0,0,0,0,0,0,0,0,0,0,0,0
"2558",0,0,0,0,0,0,0,0,0,0,0,0
"2559",0,0,1,0,0,0,0,0,1,0,0,0
"2560",0,1,4,0,0,0,0,0,0,0,0,0
"2561",1,0,1,0,2,0,0,0,0,0,0,0
"2562",0,0,0,0,0,0,0,1,0,0,0,0
"2563",0,0,0,0,0,0,0,0,0,1,0,1
