"","Symbol","Chromosome","Description","Min","Max","Corr","Pval","FDR","Mean_WT_00Hr","Mean_WT_02Hr","Mean_WT_04Hr","Mean_WT_06Hr","Mean_WT_08Hr","Mean_WT_10Hr","Mean_WT_12Hr"
"11298","Aanat","11","arylalkylamine N-acetyltransferase",-1.71701706066559,1.7189883776124,0.157331627867731,0.495810093665461,0.84514953183419,0,-0.64075686038891,0.605036597312843,-1.1921736367487,0.0467596379781737,0.655896574540367,0.0969099411048537
"11304","Abca4","3","ATP-binding cassette, sub-family A (ABC1), member 4",-1.17484346783314,2.34258020097392,0.416793425369265,0.0601614679325806,0.353554851732384,-1.85037170770859e-17,-0.00510227106121014,0.628672684326543,0.200765255059934,0.459158839516464,1.59045077936294,1.01926975645814
"11308","Abi1","2","abl-interactor 1",-1.97049417889502,1.1173969433155,0.0943683227251166,0.684096273058486,0.911196901573265,6.1802415037467e-15,-0.501604433446637,-1.10846837044924,-0.639578786020332,-1.22370276400422,-0.809779706283126,0.678501783359127
"11350","Abl1","2","c-abl oncogene 1, non-receptor tyrosine kinase",-1.60662700851671,2.24792688255965,0.302765035409749,0.182186844873204,0.597143244606142,-8.67824330915331e-15,0.660095413016579,-0.0622602228501554,0.768952909572174,1.02053903020879,0.808991323323297,1.13223543629687
"11354","Scgb1b27","7","secretoglobin, family 1B, member 27",-1.866929175933,2.01762930768061,0.0157280537875194,0.946051950443435,0.984060417458405,-9.99200722162641e-15,-0.601227808507956,1.09062409919641,0.334595857182513,-0.0246579790671941,0.50664002548032,-0.182716186572917
"11363","Acadl","1","acyl-Coenzyme A dehydrogenase, long-chain",-1.79148999362493,2.0407078405182,0.538685842222541,0.0117512670243503,0.129834282645408,-3.96904731303493e-15,-0.361476532561039,-0.381958766953188,0.342687535819869,0.961922368338354,1.06018956394273,0.624982928754711
"11364","Acadm","3","acyl-Coenzyme A dehydrogenase, medium chain",-1.62515423731106,2.1792580921774,0.4090622324561,0.065578922769282,0.369575715152091,3.40468394218381e-15,-1.21086919131179,0.170655559863782,0.286341259255163,0.806735373901496,0.435545166251664,0.884880680775147
"11370","Acadvl","11","acyl-Coenzyme A dehydrogenase, very long chain",-1.68321881202324,2.16291354633977,0.0668659418437856,0.773363976412375,0.942575957797852,0,0.189234094545425,0.306339313531998,1.2669593793815,-0.320669816601189,1.03195500772031,-0.77479988616267
"11409","Acads","5","acyl-Coenzyme A dehydrogenase, short chain",-2.76512632583933,1.42637130609945,-0.169076578215834,0.463764225021352,0.829304190734046,-6.47630097698008e-15,-0.0164860551281125,-0.175014214373125,-0.538726432806225,-0.990364278589175,0.253605022428554,-0.472727622707319
"11416","Slc33a1","3","solute carrier family 33 (acetyl-CoA transporter), member 1",-2.28773384283985,1.29056273377398,-0.0589802017031979,0.799532828037392,0.949164968047933,-6.25425637205505e-15,-1.51478241388994,-0.329641050581595,-1.10016660973118,-0.861114468550392,-0.934167804823096,-1.10737490856645
